Date,Portfolio Value,Peak Value,Drawdown %,Stock,Quantity,Entry Price,Daily Close,Position Value,Stock Drawdown %
2025-03-06,214948.85,214948.85,0.0,NTPC,91.0,333.0,329.55,29989.05,1.08
2025-03-06,214948.85,214948.85,0.0,CHOLAFIN,21.0,1458.95,1457.35,30604.35,4.99
2025-03-06,214948.85,214948.85,0.0,HINDALCO,45.0,681.8,691.35,31110.75,17.6
2025-03-06,214948.85,214948.85,0.0,INDIGO,7.0,4765.5,4657.55,32602.85,2.89
2025-03-06,214948.85,214948.85,0.0,JINDALSTEL,33.0,915.6,908.95,29995.35,14.06
2025-03-06,214948.85,214948.85,0.0,JSWSTEEL,30.0,1011.85,1011.15,30334.5,8.06
2025-03-06,214948.85,214948.85,0.0,TATASTEEL,200.0,150.43,151.56,30312.0,15.46
2025-03-09,365036.05,365036.05,0.0,NTPC,91.0,333.0,329.4,29975.4,1.08
2025-03-09,365036.05,365036.05,0.0,CHOLAFIN,21.0,1458.95,1419.55,29810.55,4.99
2025-03-09,365036.05,365036.05,0.0,HINDALCO,45.0,681.8,689.15,31011.75,17.6
2025-03-09,365036.05,365036.05,0.0,INDIGO,7.0,4765.5,4627.55,32392.85,2.89
2025-03-09,365036.05,365036.05,0.0,JINDALSTEL,33.0,915.6,905.3,29874.9,14.06
2025-03-09,365036.05,365036.05,0.0,JSWSTEEL,30.0,1011.85,1013.5,30405.0,8.06
2025-03-09,365036.05,365036.05,0.0,TATASTEEL,200.0,150.43,151.05,30210.0,15.46
2025-03-09,365036.05,365036.05,0.0,BERGEPAINT,60.0,507.0,504.45,30267.0,4.81
2025-03-09,365036.05,365036.05,0.0,COALINDIA,78.0,385.4,375.15,29261.7,2.8
2025-03-09,365036.05,365036.05,0.0,SRF,11.0,2918.15,2938.15,32319.65,6.95
2025-03-09,365036.05,365036.05,0.0,JSL,46.0,654.7,640.6,29467.6,21.7
2025-03-09,365036.05,365036.05,0.0,AXISBANK,29.0,1037.3,1035.85,30039.65,2.61
2025-03-10,395785.8,395785.8,0.0,NTPC,91.0,333.0,330.3,30057.3,1.08
2025-03-10,395785.8,395785.8,0.0,CHOLAFIN,21.0,1458.95,1448.75,30423.75,4.99
2025-03-10,395785.8,395785.8,0.0,HINDALCO,45.0,681.8,695.5,31297.5,17.6
2025-03-10,395785.8,395785.8,0.0,INDIGO,7.0,4765.5,4651.45,32560.15,2.89
2025-03-10,395785.8,395785.8,0.0,JINDALSTEL,33.0,915.6,904.85,29860.05,14.06
2025-03-10,395785.8,395785.8,0.0,JSWSTEEL,30.0,1011.85,1018.65,30559.5,8.06
2025-03-10,395785.8,395785.8,0.0,TATASTEEL,200.0,150.43,150.75,30150.0,15.46
2025-03-10,395785.8,395785.8,0.0,BERGEPAINT,60.0,507.0,498.05,29883.0,4.81
2025-03-10,395785.8,395785.8,0.0,COALINDIA,78.0,385.4,379.05,29565.9,2.8
2025-03-10,395785.8,395785.8,0.0,SRF,11.0,2918.15,2921.25,32133.75,6.95
2025-03-10,395785.8,395785.8,0.0,JSL,46.0,654.7,649.35,29870.1,21.7
2025-03-10,395785.8,395785.8,0.0,AXISBANK,29.0,1037.3,1025.65,29743.85,2.61
2025-03-10,395785.8,395785.8,0.0,ADANIENSOL,39.0,777.15,761.05,29680.95,2.07
2025-03-11,425733.9,425733.9,0.0,NTPC,91.0,333.0,330.15,30043.65,1.08
2025-03-11,425733.9,425733.9,0.0,CHOLAFIN,21.0,1458.95,1451.5,30481.5,4.99
2025-03-11,425733.9,425733.9,0.0,HINDALCO,45.0,681.8,689.85,31043.25,17.6
2025-03-11,425733.9,425733.9,0.0,INDIGO,7.0,4765.5,4729.2,33104.4,2.89
2025-03-11,425733.9,425733.9,0.0,JINDALSTEL,33.0,915.6,903.05,29800.65,14.06
2025-03-11,425733.9,425733.9,0.0,JSWSTEEL,30.0,1011.85,1010.4,30312.0,8.06
2025-03-11,425733.9,425733.9,0.0,TATASTEEL,200.0,150.43,150.3,30060.0,15.46
2025-03-11,425733.9,425733.9,0.0,BERGEPAINT,60.0,507.0,482.6,28956.0,4.81
2025-03-11,425733.9,425733.9,0.0,COALINDIA,78.0,385.4,380.7,29694.6,2.8
2025-03-11,425733.9,425733.9,0.0,SRF,11.0,2918.15,2958.6,32544.6,6.95
2025-03-11,425733.9,425733.9,0.0,JSL,46.0,654.7,637.1,29306.6,21.7
2025-03-11,425733.9,425733.9,0.0,AXISBANK,29.0,1037.3,1011.2,29324.8,2.61
2025-03-11,425733.9,425733.9,0.0,ADANIENSOL,39.0,777.15,781.75,30488.25,2.07
2025-03-11,425733.9,425733.9,0.0,SHRIRAMFIN,48.0,638.15,636.95,30573.6,5.32
2025-03-12,513910.8,513910.8,0.0,NTPC,91.0,333.0,331.9,30202.9,1.08
2025-03-12,513910.8,513910.8,0.0,CHOLAFIN,21.0,1458.95,1444.7,30338.7,4.99
2025-03-12,513910.8,513910.8,0.0,HINDALCO,45.0,681.8,677.35,30480.75,17.6
2025-03-12,513910.8,513910.8,0.0,INDIGO,7.0,4765.5,4700.85,32905.95,2.89
2025-03-12,513910.8,513910.8,0.0,JINDALSTEL,33.0,915.6,889.7,29360.1,14.06
2025-03-12,513910.8,513910.8,0.0,JSWSTEEL,30.0,1011.85,1001.2,30036.0,8.06
2025-03-12,513910.8,513910.8,0.0,TATASTEEL,200.0,150.43,150.88,30176.0,15.46
2025-03-12,513910.8,513910.8,0.0,BERGEPAINT,60.0,507.0,488.2,29292.0,4.81
2025-03-12,513910.8,513910.8,0.0,COALINDIA,78.0,385.4,378.3,29507.4,2.8
2025-03-12,513910.8,513910.8,0.0,SRF,11.0,2918.15,2951.8,32469.8,6.95
2025-03-12,513910.8,513910.8,0.0,JSL,46.0,654.7,632.3,29085.8,21.7
2025-03-12,513910.8,513910.8,0.0,AXISBANK,29.0,1037.3,1010.2,29295.8,2.61
2025-03-12,513910.8,513910.8,0.0,ADANIENSOL,39.0,777.15,783.2,30544.8,2.07
2025-03-12,513910.8,513910.8,0.0,SHRIRAMFIN,48.0,638.15,619.55,29738.4,5.32
2025-03-12,513910.8,513910.8,0.0,KOTAKBANK,16.0,1995.4,1985.1,31761.6,0.52
2025-03-12,513910.8,513910.8,0.0,CROMPTON,85.0,357.05,344.25,29261.25,9.59
2025-03-12,513910.8,513910.8,0.0,VOLTAS,21.0,1443.95,1402.55,29453.55,16.35
2025-03-16,551901.55,551901.55,0.0,NTPC,91.0,333.0,331.65,30180.15,1.08
2025-03-16,551901.55,551901.55,0.0,CHOLAFIN,21.0,1458.95,1455.6,30567.6,4.99
2025-03-16,551901.55,551901.55,0.0,HINDALCO,45.0,681.8,680.75,30633.75,17.6
2025-03-16,551901.55,551901.55,0.0,INDIGO,7.0,4765.5,4780.45,33463.15,2.89
2025-03-16,551901.55,551901.55,0.0,JINDALSTEL,33.0,915.6,897.25,29609.25,14.06
2025-03-16,551901.55,551901.55,0.0,JSWSTEEL,30.0,1011.85,1005.7,30171.0,8.06
2025-03-16,551901.55,551901.55,0.0,TATASTEEL,200.0,150.43,151.81,30362.0,15.46
2025-03-16,551901.55,551901.55,0.0,BERGEPAINT,60.0,507.0,502.65,30159.0,4.81
2025-03-16,551901.55,551901.55,0.0,COALINDIA,78.0,385.4,385.75,30088.5,2.8
2025-03-16,551901.55,551901.55,0.0,SRF,11.0,2918.15,3011.3,33124.3,6.95
2025-03-16,551901.55,551901.55,0.0,JSL,46.0,654.7,641.6,29513.6,21.7
2025-03-16,551901.55,551901.55,0.0,AXISBANK,29.0,1037.3,1034.15,29990.35,2.61
2025-03-16,551901.55,551901.55,0.0,ADANIENSOL,39.0,777.15,795.05,31006.95,2.07
2025-03-16,551901.55,551901.55,0.0,SHRIRAMFIN,48.0,638.15,623.25,29916.0,5.32
2025-03-16,551901.55,551901.55,0.0,KOTAKBANK,16.0,1995.4,1993.1,31889.6,0.52
2025-03-16,551901.55,551901.55,0.0,CROMPTON,85.0,357.05,352.9,29996.5,9.59
2025-03-16,551901.55,551901.55,0.0,VOLTAS,21.0,1443.95,1458.45,30627.45,16.35
2025-03-16,551901.55,551901.55,0.0,DMART,8.0,3865.75,3825.3,30602.4,1.05
2025-03-17,688055.4,688055.4,0.0,NTPC,91.0,333.0,337.35,30698.85,1.08
2025-03-17,688055.4,688055.4,0.0,CHOLAFIN,21.0,1458.95,1515.25,31820.25,4.99
2025-03-17,688055.4,688055.4,0.0,HINDALCO,45.0,681.8,697.85,31403.25,17.6
2025-03-17,688055.4,688055.4,0.0,INDIGO,7.0,4765.5,4806.25,33643.75,2.89
2025-03-17,688055.4,688055.4,0.0,JINDALSTEL,33.0,915.6,923.5,30475.5,14.06
2025-03-17,688055.4,688055.4,0.0,JSWSTEEL,30.0,1011.85,1018.05,30541.5,8.06
2025-03-17,688055.4,688055.4,0.0,TATASTEEL,200.0,150.43,154.66,30932.0,15.46
2025-03-17,688055.4,688055.4,0.0,BERGEPAINT,60.0,507.0,505.6,30336.0,4.81
2025-03-17,688055.4,688055.4,0.0,COALINDIA,78.0,385.4,389.3,30365.4,2.8
2025-03-17,688055.4,688055.4,0.0,SRF,11.0,2918.15,2989.9,32888.9,6.95
2025-03-17,688055.4,688055.4,0.0,JSL,46.0,654.7,647.85,29801.1,21.7
2025-03-17,688055.4,688055.4,0.0,AXISBANK,29.0,1037.3,1045.25,30312.25,2.61
2025-03-17,688055.4,688055.4,0.0,ADANIENSOL,39.0,777.15,798.55,31143.45,2.07
2025-03-17,688055.4,688055.4,0.0,SHRIRAMFIN,48.0,638.15,642.3,30830.4,5.32
2025-03-17,688055.4,688055.4,0.0,KOTAKBANK,16.0,1995.4,2034.0,32544.0,0.52
2025-03-17,688055.4,688055.4,0.0,CROMPTON,85.0,357.05,356.75,30323.75,9.59
